loss,created_at,avg_val_loss,learning_rate,epoch
"tensor(4.9161, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:40.405152,,,
"tensor(5.0521, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:40.775404,,,
,2021-02-28 17:30:41.484406,4.671826362609863,0.0005,5.0
"tensor(4.5070, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:41.952341,,,
"tensor(4.6519, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:42.244608,,,
"tensor(4.6682, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:42.659372,,,
"tensor(4.9742, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:43.036949,,,
"tensor(4.4800, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:43.435576,,,
"tensor(4.6096, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:43.874193,,,
"tensor(5.0406, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:44.281239,,,
"tensor(4.3751, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:44.596186,,,
"tensor(4.9725, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:44.911191,,,
"tensor(4.9593, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:45.422819,,,
"tensor(4.7354, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:45.805016,,,
"tensor(4.3493, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:46.190034,,,
"tensor(4.4112, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:46.620206,,,
,2021-02-28 17:30:47.185933,4.671864032745361,0.0005,6.0
"tensor(4.6283, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:47.557868,,,
"tensor(4.4172, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:47.901095,,,
"tensor(4.5606, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:48.155217,,,
"tensor(4.6494, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:48.407259,,,
"tensor(4.7411, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:48.661120,,,
"tensor(4.4786, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:48.922422,,,
"tensor(4.9340, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:49.181269,,,
"tensor(5.7476, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:49.450879,,,
"tensor(4.3778, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:49.837795,,,
"tensor(4.7575, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:50.242509,,,
"tensor(4.4677, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:50.635711,,,
"tensor(4.3815, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:51.014714,,,
"tensor(4.5920, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:51.588571,,,
,2021-02-28 17:30:52.123847,4.671782970428467,0.0005,7.0
"tensor(4.4238, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:52.599938,,,
"tensor(4.6229, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:53.058772,,,
"tensor(4.5462, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:53.545154,,,
"tensor(4.6101, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:53.795815,,,
"tensor(4.6633, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:54.109660,,,
"tensor(5.2702, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:54.349640,,,
"tensor(4.9708, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:54.608455,,,
"tensor(4.4147, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:54.890804,,,
"tensor(4.6313, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:55.161071,,,
"tensor(4.4632, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:55.545437,,,
"tensor(4.5644, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:55.824629,,,
"tensor(4.4726, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:56.268411,,,
"tensor(5.0788, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:56.788864,,,
,2021-02-28 17:30:57.810330,4.671717166900635,0.0005,8.0
"tensor(4.9650, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:58.309030,,,
"tensor(4.4427, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:58.603910,,,
"tensor(5.3694, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:58.865051,,,
"tensor(4.5636, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:59.136524,,,
"tensor(4.6835, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:59.443695,,,
"tensor(4.6314, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:59.793113,,,
"tensor(4.3498, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:00.149552,,,
"tensor(4.5149, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:00.479752,,,
"tensor(4.5721, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:00.868921,,,
"tensor(4.6606, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:01.140687,,,
"tensor(4.6377, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:01.598069,,,
"tensor(4.8872, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:01.861157,,,
"tensor(4.4548, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:02.219033,,,
,2021-02-28 17:31:03.257291,4.671754837036133,0.0005,9.0
"tensor(4.9532, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:03.712055,,,
"tensor(4.9732, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:04.115850,,,
"tensor(4.3713, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:04.414552,,,
"tensor(4.7386, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:04.821875,,,
"tensor(4.4280, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:05.252776,,,
"tensor(4.8550, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:05.663027,,,
"tensor(4.3637, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:05.936084,,,
"tensor(4.5107, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:06.238517,,,
"tensor(4.4241, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:06.555158,,,
"tensor(4.6852, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:06.984497,,,
"tensor(5.3819, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:07.340024,,,
"tensor(4.4485, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:07.599319,,,
